id,category,file,project_or_source,source_page_url,direct_image_url,design_takeaway
01,documented Eichler,images/eichler-projects/01-cathie-hong-green-terrazzo-walnut.webp,Cathie Hong Interiors - Highlands Eichler,https://www.cathiehonginteriors.com/portfolio/highlands-eichler,https://images.squarespace-cdn.com/content/v1/665dde0e1a529c40c577b66b/5d268b74-7ca9-4a23-a72b-e73079943b66/CathieHong_BunkerHill_13.jpg,green tile plus terrazzo and walnut
02,documented Eichler,images/eichler-projects/02-cathie-hong-terrazzo-walnut-vanity.webp,Cathie Hong Interiors - Highlands Eichler,https://www.cathiehonginteriors.com/portfolio/highlands-eichler,https://images.squarespace-cdn.com/content/v1/665dde0e1a529c40c577b66b/0373fed5-2198-4d4c-9592-4c9b5626e1d5/CathieHong_BunkerHill_15.JPG,terrazzo backsplash and furniture-like walnut vanity
03,documented Eichler,images/eichler-projects/03-cathie-hong-geometric-tile-bath.webp,Cathie Hong Interiors - Highlands Eichler,https://www.cathiehonginteriors.com/portfolio/highlands-eichler,https://images.squarespace-cdn.com/content/v1/665dde0e1a529c40c577b66b/afc010f0-9e99-416e-97b8-b4016c7e3a2f/CathieHong_BunkerHill_19.JPG,geometric tile used as one focal surface
04,documented Eichler,images/eichler-projects/04-destination-eichler-atomic-hex.webp,Destination Eichler - 1964 Concord renovation,https://www.destinationeichler.com/blog/concord-eichler-restoration-and-renovation,https://images.squarespace-cdn.com/content/v1/64134464114198149a84e6a0/1679585562341-K9ZCZ5791PPO5W5CYH75/image-asset.jpeg,atomic hex tile with walnut veneer
05,documented Eichler,images/eichler-projects/05-dwell-dual-vanity-skylight.jpg,Dwell - Sunny Super Eichler,https://www.dwell.com/article/super-eichler-claude-oakland-northgate-walnut-creek-real-estate-19df826d/6671165112303206400,https://images2.dwell.com/photos/6133553759298379776/6671165112303206400/original.jpg,long dual vanity and skylight
06,documented Eichler,images/eichler-projects/06-dwell-eichler-v3-primary.jpg,Dwell - Eichler v3.0,https://www.dwell.com/home/eichler-v30-01c88015/7394906419119173632,https://images2.dwell.com/photos/6378013134704955392/7394906419119173632/original.jpg,light wood and aggregate surfaces
07,documented Eichler,images/eichler-projects/07-dwell-indoor-outdoor-master.jpg,Dwell - Updated Eichler with indoor-outdoor bath,https://www.dwell.com/article/updated-eichler-home-for-sale-los-angeles-a72419d1/6463425399957061632,https://images2.dwell.com/photos/6133553759298379776/6463425399957061632/original.jpg,indoor-outdoor shower sequence
08,documented Eichler,images/eichler-projects/08-dwell-walnut-blue-tile.jpg,Dwell - Scandinavian Eichler,https://www.dwell.com/article/california-eichler-home-midcentury-renovation-5f1f95c9-2732aef7/6404803868028706816,https://images2.dwell.com/photos/6133553759298379776/6404803868028706816/original.jpg,walnut vanity and sparing blue Heath tile
09,documented Eichler,images/eichler-projects/09-fairhaven-primary-wide.webp,Pacific Coast Builders - Fairhaven Eichler,https://www.pacificcoastbuilders.com/project/fairhaven-eichler-tract-remodel,https://framerusercontent.com/images/x4rBiKYtmycOKyPrHol21y0AR6I.webp?height=1282&width=1920,open wet room with floating walnut vanity
10,documented Eichler,images/eichler-projects/10-fairhaven-skylit-tub.webp,Pacific Coast Builders - Fairhaven Eichler,https://www.pacificcoastbuilders.com/project/fairhaven-eichler-tract-remodel,https://framerusercontent.com/images/PHtZP5wLIge6ENIWIptHU2hBoqk.webp?height=1283&width=1920,skylit tub and shower behind frameless glass
11,documented Eichler,images/eichler-projects/11-houzz-jennys-eichler.jpg,Houzz - Jenny's Eichler by Kerf Design,https://www.houzz.com/photos/jenny-s-eichler-midcentury-bathroom-san-francisco-phvw-vp~67715128,https://st.hzcdn.com/simgs/99b1a22307e18454_9-1963/home-design.jpg,mustard tile and floating double vanity
12,Pinterest visual lead,images/pinterest/12-indoor-outdoor-wood-bath.jpg,Pinterest pin,https://www.pinterest.com/pin/455145106113720840/,https://i.pinimg.com/736x/32/26/ad/3226ad3665675416d3b084d033f53191.jpg,wood-lined indoor-outdoor bathing
13,Pinterest visual lead,images/pinterest/13-long-wet-room-skylight.jpg,Pinterest pin,https://www.pinterest.com/pin/163537030212260036/,https://i.pinimg.com/736x/03/74/37/037437ce21a73d97c8266144c02a86ee.jpg,long narrow wet room with overhead light
14,Pinterest visual lead,images/pinterest/14-walnut-color-block-vanity.jpg,Pinterest pin,https://www.pinterest.com/pin/74098356363482125/,https://i.pinimg.com/736x/15/fe/93/15fe931474a792eac1575812797cfdbf.jpg,walnut vanity with colored drawer fronts
15,Pinterest visual lead,images/pinterest/15-terrazzo-shower-color-dashes.jpg,Pinterest pin,https://www.pinterest.com/pin/914862421778403/,https://i.pinimg.com/736x/65/28/bb/6528bb4d60d6746f8c40edaa27c48009.jpg,terrazzo shower with small color accents
16,adjacent mid-century,images/adjacent-midcentury/16-green-tile-garden-window.jpg,Architectural Digest - midcentury bathroom ideas,https://www.architecturaldigest.com/gallery/midcentury-modern-bathroom-ideas,https://media.architecturaldigest.com/photos/6753468ff25ccfed7bdc997a/master/w_1024%2Cc_limit/AndAndAnd_2.jpg,green tile plus floating wood vanity and garden view
17,adjacent mid-century,images/adjacent-midcentury/17-indoor-outdoor-glass-wet-room.jpg,Architectural Digest - midcentury bathroom ideas,https://www.architecturaldigest.com/gallery/midcentury-modern-bathroom-ideas,https://media.architecturaldigest.com/photos/67534707433cfca2d5c89c3e/master/w_1024%2Cc_limit/AnotherHuman.jpg,glass wet room and indoor-outdoor connection
18,adjacent mid-century,images/adjacent-midcentury/18-terrazzo-floating-vanity.jpg,Architectural Digest - midcentury bathroom ideas,https://www.architecturaldigest.com/gallery/midcentury-modern-bathroom-ideas,https://media.architecturaldigest.com/photos/6753470bf25ccfed7bdc997f/master/w_1024%2Cc_limit/AlfredoParedes.jpg,terrazzo waterfall counter over dark floating vanity
19,adjacent mid-century,images/adjacent-midcentury/19-stone-zellige-wet-room.png,Livingetc - Ward and Gray LA bathroom,https://www.livingetc.com/features/ward-and-gray-los-angeles-bathroom-renovation,https://cdn.mos.cms.futurecdn.net/pB66hFfEB9nU9k8MMLrqdJ.png,stone and zellige wet room with black-framed glass
