id,category,source_type,title_or_description,source_page_url,direct_image_url,design_takeaway
P01,pinterest,pin,Floating teak vanity with brass mirror and forest-green tile,https://www.pinterest.com/pin/7388786885238314/,https://i.pinimg.com/736x/94/41/30/944130f76bd7a2ea992a2175294febef.jpg,warm wood vanity against a single saturated green tile field
P02,pinterest,pin,Double vanity with blue tile wall and walk-in shower,https://www.pinterest.com/pin/211174979105655/,https://i.pinimg.com/736x/4d/06/7a/4d067aadc2fcd051c77a9845d8d25f89.jpg,blue tile used as the one color gesture behind a calm vanity
P03,pinterest,pin,Green-tiled double vanity,https://www.pinterest.com/pin/74098356365535422/,https://i.pinimg.com/736x/be/9e/00/be9e00fc2176d018792b5ac1dc75216b.jpg,green vertical tile plus wood keeps the room bright and period-correct
P04,pinterest,pin,Green tile with wood cabinetry,https://www.pinterest.com/pin/282530576621102392/,https://i.pinimg.com/736x/d4/76/ab/d476abc363ddb4fe7d8d52e5ab073c54.jpg,full-height green tile as a wet-zone accent
P05,pinterest,pin,Wood floor with tiled walls,https://www.pinterest.com/pin/491173903132983149/,https://i.pinimg.com/736x/40/79/52/407952dd67297703ed7d6a49ccb503c5.jpg,wood underfoot warms an otherwise tiled wet room
P06,pinterest,pin,Warm minimal bath with wood floor and white walls,https://www.pinterest.com/pin/6262886975189924/,https://i.pinimg.com/736x/22/22/7e/22227e87369c63733a631048827c2f76.jpg,quiet envelope lets the wood and light do the work
P07,pinterest,pin,Double vanity with freestanding tub centered,https://www.pinterest.com/pin/180073685096226764/,https://i.pinimg.com/736x/1c/61/d3/1c61d30db194651d5373874dd109efd5.jpg,symmetry and a central tub for a larger primary footprint
P08,pinterest,pin,Double vanity with wood cabinets,https://www.pinterest.com/pin/4785143351953705/,https://i.pinimg.com/736x/9a/51/5d/9a515df4c4f80d9babada60589e01cf7.jpg,simple slab-front walnut with twin mirrors
P09,pinterest,pin,Blue and green tile with sink and mirror,https://www.pinterest.com/pin/133700682679829187/,https://i.pinimg.com/736x/0a/81/43/0a81435bfd04051c81c8a1f5e1322bef.jpg,two-tone tile as a bolder color statement
P10,pinterest,pin,Green tile with wood and indoor-outdoor feel,https://www.pinterest.com/pin/306385580922834404/,https://i.pinimg.com/736x/00/fe/6c/00fe6cdf18fcf04a13f1b59932a08cfd.jpg,green tile plus wood opening to light
