photo_no,filename,url,note
01,01.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786133596/90/90_41144292_01.jpg,exterior/pool
02,02.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137394/90/90_41144292_02.jpg,
03,03.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137398/90/90_41144292_03.jpg,
04,04.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137402/90/90_41144292_04.jpg,
05,05.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137405/90/90_41144292_05.jpg,
06,06.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137408/90/90_41144292_06.jpg,
07,07.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137410/90/90_41144292_07.jpg,
08,08.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137413/90/90_41144292_08.jpg,
09,09.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137415/90/90_41144292_09.jpg,
10,10.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137417/90/90_41144292_10.jpg,
11,11.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137419/90/90_41144292_11.jpg,
12,12.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137421/90/90_41144292_12.jpg,
13,13.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137423/90/90_41144292_13.jpg,
14,14.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137424/90/90_41144292_14.jpg,
15,15.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137426/90/90_41144292_15.jpg,
16,16.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137429/90/90_41144292_16.jpg,
17,17.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137431/90/90_41144292_17.jpg,
18,18.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137434/90/90_41144292_18.jpg,
19,19.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137437/90/90_41144292_19.jpg,
20,20.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137439/90/90_41144292_20.jpg,
21,21.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137441/90/90_41144292_21.jpg,
22,22.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137442/90/90_41144292_22.jpg,
23,23.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137445/90/90_41144292_23.jpg,
24,24.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137446/90/90_41144292_24.jpg,
25,25.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137448/90/90_41144292_25.jpg,
26,26.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137451/90/90_41144292_26.jpg,
27,27.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137453/90/90_41144292_27.jpg,
28,28.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137455/90/90_41144292_28.jpg,
29,29.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137457/90/90_41144292_29.jpg,
30,30.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137459/90/90_41144292_30.jpg,
31,31.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137461/90/90_41144292_31.jpg,
32,32.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137463/90/90_41144292_32.jpg,
33,33.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137466/90/90_41144292_33.jpg,
34,34.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137469/90/90_41144292_34.jpg,
35,35.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137471/90/90_41144292_35.jpg,
36,36.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137473/90/90_41144292_36.jpg,
37,37.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137475/90/90_41144292_37.jpg,second bath vanity
38,38.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137477/90/90_41144292_38.jpg,walk-in closet
39,39.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137479/90/90_41144292_39.jpg,shower (black tile)
40,40.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137480/90/90_41144292_40.jpg,shower (black tile)
41,41.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137481/90/90_41144292_41.jpg,
42,42.jpg,https://cdn.listingphotos.sierrastatic.com/large/v1786137483/90/90_41144292_42.jpg,
